Gene ID	ERR2619174	ERR2619175	ERR2619176	ERR2619177	ERR2619178	ERR2619179	ERR2619180	ERR2619181	ERR2619182	ERR2619183	ERR2619184	ERR2619185	ERR2619186	ERR2619187	ERR2619188	ERR2619189	ERR2619190	ERR2619191
ENSG00000008952	9826	10359	7523	7040	4480	4333	3611	3359	5817	6054	5250	5296	8003	7007	9995	7820	7594	8024
ENSG00000008988	12019	13140	14098	13123	15928	15179	13336	13450	16814	16981	17364	16186	9054	9873	12995	10261	9978	10691
ENSG00000009307	19855	21351	17401	16704	21965	20933	15583	14858	20008	19909	17302	18102	12580	11757	17067	14683	14089	15267
ENSG00000009335	3177	3651	3352	3223	4331	4065	3028	2931	4855	4796	3506	3440	3883	2891	5067	4264	3707	4087
ENSG00000009413	743	934	976	876	2446	2184	1337	1127	1214	1069	1092	1131	857	814	966	1081	1087	998
ENSG00000009694	13	15	82	62	0	0	0	0	71	68	77	86	402	161	223	348	232	253
ENSG00000009709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000009724	54	61	122	99	1454	1579	993	925	43	25	90	101	7746	5486	6402	7285	5377	6846
ENSG00000009765	7	8	13	25	5	7	4	3	24	20	115	86	3869	2695	5435	3636	3320	4068
ENSG00000009780	101	89	120	111	449	445	422	389	192	157	175	164	319	295	445	274	269	238
ENSG00000009790	3	4	4	1	0	0	1	0	1	0	0	1	9	100	20	12	75	28
ENSG00000009830	623	663	693	622	695	633	461	444	728	663	612	633	478	405	792	537	575	497
ENSG00000009844	3772	4171	3665	3503	4163	3872	3138	2850	3190	3344	2722	2633	1681	1719	2674	2013	1874	1969
ENSG00000009950	2011	2403	5092	4421	4253	4202	3332	2923	187	148	1428	1567	8573	7184	10070	7070	8844	7540
ENSG00000009954	8198	9083	8018	7515	6538	6040	4046	3714	5142	5205	3961	4044	2582	1841	2952	2964	2716	2583
ENSG00000010017	2195	2414	2223	2105	3194	3008	2368	2215	1773	1709	1499	1477	1668	1337	1843	1734	1845	1682
ENSG00000010030	0	0	0	0	0	1	0	1	6	4	8	6	45	54	26	27	81	30
ENSG00000010072	1085	1173	1036	957	644	488	366	310	930	873	595	511	280	273	352	284	315	314
ENSG00000010165	3414	3709	3171	3066	1620	1407	996	1006	1126	1068	807	788	830	821	1001	1185	1071	1002
ENSG00000010219	60	63	41	45	488	482	426	403	182	184	220	187	325	378	429	420	375	370
ENSG00000010244	7934	8970	7397	6876	6443	5614	5352	4779	5019	5171	4296	4293	2280	2124	2676	2608	2990	2563
ENSG00000010256	4099	4415	4953	4923	8702	8549	8505	8284	6399	6208	7155	6642	5346	3987	6370	6060	5143	5898
ENSG00000010270	1731	1798	1274	1258	1513	1516	1263	1169	1209	1240	934	906	439	782	747	728	800	518
ENSG00000010278	0	0	0	0	490	488	459	427	466	363	430	440	2827	2404	4490	4469	3747	4487
ENSG00000010282	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0
ENSG00000010292	9158	10374	7872	7609	7486	6450	5449	5142	8112	8190	6916	7139	456	382	397	578	615	479
ENSG00000010295	506	580	628	530	758	726	453	401	734	772	668	790	352	498	501	470	613	451
ENSG00000010310	5	16	4	6	5	3	6	11	133	88	52	86	0	27	0	16	13	4
ENSG00000010318	32	41	46	40	146	139	113	107	97	68	131	147	86	94	129	153	131	126
ENSG00000010319	255	307	240	245	562	617	652	644	219	197	235	302	4	5	8	4	21	2
ENSG00000010322	1452	1657	1745	1554	1451	1506	1100	1084	1436	1461	1441	1639	1274	955	1159	938	1333	1022
ENSG00000010327	1	1	0	0	2	1	1	2	2	1	3	0	149	1206	157	25	2760	176
ENSG00000010361	160	167	150	188	3	0	5	4	0	0	2	1	134	89	122	122	108	130
ENSG00000010379	19	18	23	22	3	0	1	1	29	10	59	66	132	52	109	182	87	115
ENSG00000010404	216	228	168	181	496	560	422	377	313	326	310	289	1077	910	1733	1699	1567	1490
ENSG00000010438	231	273	332	344	0	1	0	2	27	13	138	128	378	168	253	661	275	255
ENSG00000010539	460	537	546	458	596	565	450	399	315	308	324	327	132	128	256	207	237	205
ENSG00000010610	3	3	136	114	21	24	19	15	4	1	21	20	344	475	181	553	1348	962
ENSG00000010626	130	162	121	107	92	91	98	82	167	170	162	152	79	94	116	74	111	110
ENSG00000010671	2	0	0	1	0	1	0	0	12	10	8	11	33	73	12	166	264	188
ENSG00000010704	364	376	371	364	401	380	401	405	97	98	114	114	816	691	855	734	837	642
ENSG00000010803	833	931	1053	1012	3318	3429	2113	1989	897	861	846	900	572	742	978	639	684	512
ENSG00000010810	12	10	27	23	282	225	150	154	1492	1559	1372	1406	392	571	358	263	676	316
ENSG00000010818	734	858	214	200	441	354	447	436	613	539	214	262	520	583	601	547	410	458
ENSG00000010932	52	58	156	127	1	3	2	1	33	34	50	68	149	521	61	164	936	111
ENSG00000011007	2863	3155	2874	2732	4083	4009	2938	2707	658	643	718	647	2188	1837	2697	2485	2386	2337
ENSG00000011009	4450	5022	4212	4194	5140	4768	3083	3019	2724	2676	2333	2244	1971	2125	2799	2281	2466	2220
ENSG00000011021	820	959	1174	1179	2072	2177	1998	1966	945	838	1355	1596	437	352	777	670	538	664
ENSG00000011028	5	11	3	1	1	1	0	0	1	1	0	1	22	289	28	377	796	258
ENSG00000011052	41	50	37	33	30	29	46	33	47	55	59	50	4	12	38	26	35	34
ENSG00000011083	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	4
ENSG00000011105	2417	2622	3296	3214	1755	1823	1858	1898	2179	2111	3802	3565	2898	2006	1870	1981	2555	1803
ENSG00000011114	1199	1457	1288	1150	1661	1456	1158	1142	1148	1164	869	901	674	618	910	913	794	797
ENSG00000011132	983	1134	842	772	451	464	398	372	759	738	446	448	567	417	670	487	460	385
ENSG00000011143	345	361	358	309	779	706	522	565	238	286	275	288	118	181	234	232	233	149
